Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,Air Quality
27.2,51.7,35.1,46.2,26.7,32.2,0.98,11.2,314,Hazardous
26.3,59.3,1,6.2,38.3,20.4,0.68,13.5,298,Good
27.9,73.2,20,39.4,19.6,5.8,0.95,5.4,309,Good
23.9,51.9,14.7,24.3,5.2,12.6,1.24,4.5,282,Poor
25.2,59,26.3,30.9,26.8,13.5,1.06,5.6,293,Poor
22.7,61.4,4.3,3.2,11.1,21,0.59,5.6,290,Good
31.2,67.9,49.6,62.4,26.2,14.3,1.47,4,313,Good
25.1,56.9,36.8,58.7,20.4,20.4,0.82,0.4,300,Poor
35.7,75.4,101.7,115.4,36.9,2.1,1.03,2.4,295,Moderate
24.3,61.6,0.2,15.1,26.1,17,0.64,1.7,311,Moderate
30.5,36.5,1.9,11,26.1,31,0.41,1.7,282,Good
24.9,65.2,34,41.7,-0.4,10.3,0.79,5.6,302,Good
28.2,64.3,97.9,106.3,9.9,8.4,1.11,1.9,295,Moderate
13.1,70.3,58.3,61.1,79.4,13,0.98,3.4,320,Moderate
17,62.4,91.5,104.6,20.4,7.6,0.51,0.5,274,Good
24.9,29.8,22.8,31.4,24.1,19.9,1.27,3.6,296,Moderate
24.7,53.8,2.1,8.7,25.1,21.8,0.88,10,310,Moderate
25.8,65.6,12.7,18.5,12.3,26,1.02,0,297,Good
26.6,55.2,26.6,39.1,-0.2,25.8,0.54,0.6,316,Moderate
24.3,63,2.5,13.8,15.9,3.7,1.3,6.6,270,Poor
23.3,73.2,19.9,37.2,17.1,19.6,1.15,1.7,319,Good
29.2,80.2,28.4,36.7,18,5.1,0.68,7,317,Good
27.3,61.5,16,33.1,17.9,4.7,0.42,0.5,281,Moderate
23.2,65.1,13.3,27.4,15.2,15.6,1.34,2.4,256,Good
21,28,192.7,197.7,26.9,9.3,0.96,0.5,278,Moderate
14.3,30.2,20.8,31.9,10.1,20.6,0.74,3.7,278,Good
25.1,52.8,34.1,39.6,22.4,21.1,0.53,3.4,310,Good
23.7,49.4,12.6,26.8,33,3.4,0.85,0.5,304,Good
21.8,70.2,38.1,43.3,6.3,9.5,0.53,1.9,345,Poor
24.6,57.5,23.3,34.8,16.4,23.6,1.12,4.2,287,Good
23.4,65.1,22.3,35.1,17.7,24.3,0.33,10.6,297,Good
38.8,75.2,20.1,30.1,-2.6,0,0.49,1.3,305,Moderate
32.5,65.6,10.8,18,26.1,15.9,1.17,3.9,316,Poor
29.8,57.2,28.7,35.1,10.5,11.5,0.76,1.6,324,Moderate
27,73.1,0.4,2.4,4.4,2.6,0.77,7.1,302,Moderate
31,56.1,38.1,46.3,35.1,9.4,1.25,6.1,318,Poor
22.8,63.9,12.2,18.3,20.7,14.9,1.07,3.8,274,Hazardous
21.5,56.2,41,46,33.3,11.4,0.6,9.5,298,Moderate
